MSA Code,MSA Title,State FIPS Code,State Name,PUMA Code,PUMA Name,MSA 2010 Population,PUMA 2010 Population,Intersection 2010 Population,Percent MSA Population,Percent PUMA Population
22180,"Fayetteville, NC",37,North Carolina,5001,Cumberland County (Central)--Fayetteville City (Central & East) PUMA,"366,383","108,760","108,760",29.68,100.00
22180,"Fayetteville, NC",37,North Carolina,5002,Cumberland County (East)--Hope Mills & Spring Lake Towns PUMA,"366,383","104,885","104,885",28.63,100.00
22180,"Fayetteville, NC",37,North Carolina,5003,Cumberland County (West)--Fayetteville City (West) PUMA,"366,383","105,786","105,786",28.87,100.00
22180,"Fayetteville, NC",37,North Carolina,5200,"Hoke, Richmond & Scotland Counties PUMA","366,383","129,748","46,952",12.82,36.19
25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,2000,Caldwell & Alexander Counties PUMA,"365,497","120,227","120,227",32.89,100.00
25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,2100,Burke & McDowell Counties PUMA,"365,497","135,908","90,912",24.87,66.89
25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,2800,Catawba County--Hickory City PUMA,"365,497","154,358","154,358",42.23,100.00
26580,"Huntington-Ashland, WV-KY-OH",21,Kentucky,2800,FIVCO Area Development District PUMA,"364,908","137,884","86,452",23.69,62.70
26580,"Huntington-Ashland, WV-KY-OH",39,Ohio,5100,Scioto & Lawrence Counties PUMA,"364,908","141,949","62,450",17.11,43.99
26580,"Huntington-Ashland, WV-KY-OH",54,West Virginia,800,"Cabell, Wayne & Mason Counties--Huntington City PUMA","364,908","166,124","138,800",38.04,83.55
26580,"Huntington-Ashland, WV-KY-OH",54,West Virginia,900,"Putnam, Boone & Lincoln Counties PUMA","364,908","101,835","77,206",21.16,75.81
21660,"Eugene, OR",41,Oregon,703,Lane County (West Central)--Eugene City (West & South) PUMA,"351,715","142,064","142,064",40.39,100.00
21660,"Eugene, OR",41,Oregon,704,Lane County (East Central)--Eugene (Northeast) & Springfield Cities PUMA,"351,715","104,280","104,280",29.65,100.00
21660,"Eugene, OR",41,Oregon,705,Lane County (Outside Eugene & Springfield Cities) PUMA,"351,715","105,371","105,371",29.96,100.00
38660,"Ponce, PR",72,Puerto Rico,401,"Yauco, Peñuelas, Guayanilla, Adjuntas & Guánica Municipios--Carr 2 (Sur) PUMA","350,480","126,816","107,333",30.62,84.64
38660,"Ponce, PR",72,Puerto Rico,402,Ponce & Jayuya Municipios PUMA,"350,480","182,969","166,327",47.46,90.90
38660,"Ponce, PR",72,Puerto Rico,403,"Juana Díaz, Coamo, Villalba & Santa Isabel Municipios--Carr 52-Carr 150 PUMA","350,480","140,606","76,820",21.92,54.63
40420,"Rockford, IL",17,Illinois,2801,Winnebago County (Southeast & West)--Rockford City PUMA,"349,431","204,179","204,179",58.43,100.00
40420,"Rockford, IL",17,Illinois,2901,Winnebago (Northeast) & Boone Counties PUMA,"349,431","145,252","145,252",41.57,100.00
42340,"Savannah, GA",13,Georgia,200,"Coastal Regional Commission (West)--Liberty, Bryan & Long Counties PUMA","347,611","108,150","30,233",8.70,27.95
42340,"Savannah, GA",13,Georgia,300,"Coastal Regional Commission (North)--Bulloch, Effingham & Screven Counties PUMA","347,611","137,060","52,250",15.03,38.12
42340,"Savannah, GA",13,Georgia,401,Coastal Regional Commission (East)--Chatham County (West Central)--Savannah City PUMA,"347,611","159,408","159,408",45.86,100.00
42340,"Savannah, GA",13,Georgia,402,Coastal Regional Commission (East)--Chatham County (East & Outside Savannah City) PUMA,"347,611","105,720","105,720",30.41,100.00
11460,"Ann Arbor, MI",26,Michigan,2701,"Washtenaw County (West, Northeast & Southeast) PUMA","344,791","105,869","105,869",30.71,100.00
11460,"Ann Arbor, MI",26,Michigan,2702,Washtenaw County (East Central)--Ann Arbor City Area PUMA,"344,791","115,103","115,103",33.38,100.00
11460,"Ann Arbor, MI",26,Michigan,2703,"Washtenaw County (East Central, Outside Ann Arbor City) PUMA","344,791","123,819","123,819",35.91,100.00
10380,"Aguadilla-Isabela, PR",72,Puerto Rico,101,"San Sebastián, Aguada, Moca, Añasco & Rincón Municipios--Carr 2-Carr 111 PUMA","339,441","168,959","168,959",49.78,100.00
