occ_code,occ_name,occ_cat_name
8965,Other production workers including semiconductor processors and cooling and freezing equipment operators,Production Occupations
9000,Supervisors of Transportation and Material Moving Workers,Transportation and Material Moving Occupations
9030,Aircraft Pilots and Flight Engineers,Transportation and Material Moving Occupations
9040,Air Traffic Controllers and Airfield Operations Specialists,Transportation and Material Moving Occupations
9050,Flight Attendants and Transportation Workers and Attendants,Transportation and Material Moving Occupations
9100,Bus and Ambulance Drivers and Attendants,Transportation and Material Moving Occupations
9130,Driver/Sales Workers and Truck Drivers,Transportation and Material Moving Occupations
9140,Taxi Drivers and Chauffeurs,Transportation and Material Moving Occupations
9150,"Motor Vehicle Operators, All Other",Transportation and Material Moving Occupations
9200,Locomotive Engineers and Operators,Transportation and Material Moving Occupations
9230,"Railroad Brake, Signal, and Switch Operators",Transportation and Material Moving Occupations
9240,Railroad Conductors and Yardmasters,Transportation and Material Moving Occupations
9260,"Subway, Streetcar, and Other Rail Transportation Workers",Transportation and Material Moving Occupations
9300,"Sailors and marine oilers, and ship engineers",Transportation and Material Moving Occupations
9310,Ship and Boat Captains and Operators,Transportation and Material Moving Occupations
9350,Parking Lot Attendants,Transportation and Material Moving Occupations
9360,Automotive and Watercraft Service Attendants,Transportation and Material Moving Occupations
9410,Transportation Inspectors,Transportation and Material Moving Occupations
9420,"Transportation workers, nec",Transportation and Material Moving Occupations
9510,Crane and Tower Operators,Transportation and Material Moving Occupations
9520,"Dredge, Excavating, and Loading Machine Operators",Transportation and Material Moving Occupations
9560,"Conveyor operators and tenders, and hoist and winch operators",Transportation and Material Moving Occupations
9600,Industrial Truck and Tractor Operators,Transportation and Material Moving Occupations
9610,Cleaners of Vehicles and Equipment,Transportation and Material Moving Occupations
9620,"Laborers and Freight, Stock, and Material Movers, Hand",Transportation and Material Moving Occupations
9630,Machine Feeders and Offbearers,Transportation and Material Moving Occupations
9640,"Packers and Packagers, Hand",Transportation and Material Moving Occupations
9650,Pumping Station Operators,Transportation and Material Moving Occupations
9720,Refuse and Recyclable Material Collectors,Transportation and Material Moving Occupations
9750,"Material moving workers, nec",Transportation and Material Moving Occupations
9800,Military Officer Special and Tactical Operations Leaders,Military occupations
9810,First-Line Enlisted Military Supervisors,Military occupations
9820,Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members,Military occupations
9830,"Military, Rank Not Specified",Military occupations
9920,"Unemployed, with No Work Experience in the Last 5 Years or Earlier or Never Worked","Unemployed, with No Work Experience in the Last 5 Years or Earlier or Never Worked"
