occ_code,occ_name,occ_cat_name
2440,Library Technicians,"Education, Training, and Library Occupations"
2540,Teacher Assistants,"Education, Training, and Library Occupations"
2550,"Education, Training, and Library Workers, nec","Education, Training, and Library Occupations"
2600,Artists and Related Workers,"Arts, Design, Entertainment, Sports, and Media Occupations"
2630,Designers,"Arts, Design, Entertainment, Sports, and Media Occupations"
2700,"Actors, Producers, and Directors","Arts, Design, Entertainment, Sports, and Media Occupations"
2720,"Athletes, Coaches, Umpires, and Related Workers","Arts, Design, Entertainment, Sports, and Media Occupations"
2740,Dancers and Choreographers,"Arts, Design, Entertainment, Sports, and Media Occupations"
2750,"Musicians, Singers, and Related Workers","Arts, Design, Entertainment, Sports, and Media Occupations"
2760,"Entertainers and Performers, Sports and Related Workers, All Other","Arts, Design, Entertainment, Sports, and Media Occupations"
2800,Announcers,"Arts, Design, Entertainment, Sports, and Media Occupations"
2810,"Editors, News Analysts, Reporters, and Correspondents","Arts, Design, Entertainment, Sports, and Media Occupations"
2825,Public Relations Specialists,"Arts, Design, Entertainment, Sports, and Media Occupations"
2840,Technical Writers,"Arts, Design, Entertainment, Sports, and Media Occupations"
2850,Writers and Authors,"Arts, Design, Entertainment, Sports, and Media Occupations"
2860,"Media and Communication Workers, nec","Arts, Design, Entertainment, Sports, and Media Occupations"
2900,"Broadcast and Sound Engineering Technicians and Radio Operators, and media and communication equipment workers, all other","Arts, Design, Entertainment, Sports, and Media Occupations"
2910,Photographers,"Arts, Design, Entertainment, Sports, and Media Occupations"
2920,"Television, Video, and Motion Picture Camera Operators and Editors","Arts, Design, Entertainment, Sports, and Media Occupations"
3000,Chiropractors,Healthcare Practitioners and Technical Occupations
3010,Dentists,Healthcare Practitioners and Technical Occupations
3030,Dieticians and Nutritionists,Healthcare Practitioners and Technical Occupations
3040,Optometrists,Healthcare Practitioners and Technical Occupations
3050,Pharmacists,Healthcare Practitioners and Technical Occupations
3060,Physicians and Surgeons,Healthcare Practitioners and Technical Occupations
3110,Physician Assistants,Healthcare Practitioners and Technical Occupations
3120,Podiatrists,Healthcare Practitioners and Technical Occupations
3130,Registered Nurses,Healthcare Practitioners and Technical Occupations
3140,Audiologists,Healthcare Practitioners and Technical Occupations
3150,Occupational Therapists,Healthcare Practitioners and Technical Occupations
3160,Physical Therapists,Healthcare Practitioners and Technical Occupations
3200,Radiation Therapists,Healthcare Practitioners and Technical Occupations
3210,Recreational Therapists,Healthcare Practitioners and Technical Occupations
3220,Respiratory Therapists,Healthcare Practitioners and Technical Occupations
3230,Speech Language Pathologists,Healthcare Practitioners and Technical Occupations
3240,"Therapists, nec",Healthcare Practitioners and Technical Occupations
3250,Veterinarians,Healthcare Practitioners and Technical Occupations
3260,"Health Diagnosing and Treating Practitioners, nec",Healthcare Practitioners and Technical Occupations
3300,Clinical Laboratory Technologists and Technicians,Healthcare Practitioners and Technical Occupations
3310,Dental Hygienists,Healthcare Practitioners and Technical Occupations
3320,Diagnostic Related Technologists and Technicians,Healthcare Practitioners and Technical Occupations
3400,Emergency Medical Technicians and Paramedics,Healthcare Practitioners and Technical Occupations
3410,Health Diagnosing and Treating Practitioner Support Technicians,Healthcare Practitioners and Technical Occupations
3500,Licensed Practical and Licensed Vocational Nurses,Healthcare Practitioners and Technical Occupations
3510,Medical Records and Health Information Technicians,Healthcare Practitioners and Technical Occupations
3520,"Opticians, Dispensing",Healthcare Practitioners and Technical Occupations
3530,"Health Technologists and Technicians, nec",Healthcare Practitioners and Technical Occupations
3540,"Healthcare Practitioners and Technical Occupations, nec",Healthcare Practitioners and Technical Occupations
3600,"Nursing, Psychiatric, and Home Health Aides",Healthcare Support Occupations
3610,Occupational Therapy Assistants and Aides,Healthcare Support Occupations
3620,Physical Therapist Assistants and Aides,Healthcare Support Occupations
3630,Massage Therapists,Healthcare Support Occupations
3640,Dental Assistants,Healthcare Support Occupations
3650,"Medical Assistants and Other Healthcare Support Occupations, nec",Healthcare Support Occupations
3700,First-Line Supervisors of Correctional Officers,Protective Service Occupations
3710,First-Line Supervisors of Police and Detectives,Protective Service Occupations
3720,First-Line Supervisors of Fire Fighting and Prevention Workers,Protective Service Occupations
3730,"Supervisors, Protective Service Workers, All Other",Protective Service Occupations
3740,Firefighters,Protective Service Occupations
3750,Fire Inspectors,Protective Service Occupations
3800,"Sheriffs, Bailiffs, Correctional Officers, and Jailers",Protective Service Occupations
3820,Police Officers and Detectives,Protective Service Occupations
3900,Animal Control,Protective Service Occupations
3910,Private Detectives and Investigators,Protective Service Occupations
3930,Security Guards and Gaming Surveillance Officers,Protective Service Occupations
3940,Crossing Guards,Protective Service Occupations
3950,"Law enforcement workers, nec",Protective Service Occupations
4000,Chefs and Cooks,Food Preparation and Serving Related Occupations
4010,First-Line Supervisors of Food Preparation and Serving Workers,Food Preparation and Serving Related Occupations
4030,Food Preparation Workers,Food Preparation and Serving Related Occupations
4040,Bartenders,Food Preparation and Serving Related Occupations
4050,"Combined Food Preparation and Serving Workers, Including Fast Food",Food Preparation and Serving Related Occupations
4060,"Counter Attendant, Cafeteria, Food Concession, and Coffee Shop",Food Preparation and Serving Related Occupations
4110,Waiters and Waitresses,Food Preparation and Serving Related Occupations
4120,"Food Servers, Nonrestaurant",Food Preparation and Serving Related Occupations
4130,"Food preparation and serving related workers, nec",Food Preparation and Serving Related Occupations
4140,Dishwashers,Food Preparation and Serving Related Occupations
4150,"Host and Hostesses, Restaurant, Lounge, and Coffee Shop",Food Preparation and Serving Related Occupations
4200,First-Line Supervisors of Housekeeping and Janitorial Workers,Building and Grounds Cleaning and Maintenance Occupations
4210,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",Building and Grounds Cleaning and Maintenance Occupations
4220,Janitors and Building Cleaners,Building and Grounds Cleaning and Maintenance Occupations
4230,Maids and Housekeeping Cleaners,Building and Grounds Cleaning and Maintenance Occupations
4240,Pest Control Workers,Building and Grounds Cleaning and Maintenance Occupations
4250,Grounds Maintenance Workers,Building and Grounds Cleaning and Maintenance Occupations
4300,First-Line Supervisors of Gaming Workers,Personal Care and Service Occupations
4320,First-Line Supervisors of Personal Service Workers,Personal Care and Service Occupations
4340,Animal Trainers,Personal Care and Service Occupations
4350,Nonfarm Animal Caretakers,Personal Care and Service Occupations
4400,Gaming Services Workers,Personal Care and Service Occupations
4420,"Ushers, Lobby Attendants, and Ticket Takers",Personal Care and Service Occupations
4430,"Entertainment Attendants and Related Workers, nec",Personal Care and Service Occupations
4460,Funeral Service Workers and Embalmers,Personal Care and Service Occupations
4500,Barbers,Personal Care and Service Occupations
4510,"Hairdressers, Hairstylists, and Cosmetologists",Personal Care and Service Occupations
4520,"Personal Appearance Workers, nec",Personal Care and Service Occupations
4530,"Baggage Porters, Bellhops, and Concierges",Personal Care and Service Occupations
4540,Tour and Travel Guides,Personal Care and Service Occupations
4600,Childcare Workers,Personal Care and Service Occupations
4610,Personal Care Aides,Personal Care and Service Occupations
4620,Recreation and Fitness Workers,Personal Care and Service Occupations
4640,Residential Advisors,Personal Care and Service Occupations
4650,"Personal Care and Service Workers, All Other",Personal Care and Service Occupations
4700,First-Line Supervisors of Sales Workers,Sales and Related Occupations
4720,Cashiers,Sales and Related Occupations
4740,Counter and Rental Clerks,Sales and Related Occupations
4750,Parts Salespersons,Sales and Related Occupations
4760,Retail Salespersons,Sales and Related Occupations
4800,Advertising Sales Agents,Sales and Related Occupations
4810,Insurance Sales Agents,Sales and Related Occupations
4820,"Securities, Commodities, and Financial Services Sales Agents",Sales and Related Occupations
4830,Travel Agents,Sales and Related Occupations
4840,"Sales Representatives, Services, All Other",Sales and Related Occupations
4850,"Sales Representatives, Wholesale and Manufacturing",Sales and Related Occupations
4900,"Models, Demonstrators, and Product Promoters",Sales and Related Occupations
4920,Real Estate Brokers and Sales Agents,Sales and Related Occupations
4930,Sales Engineers,Sales and Related Occupations
4940,Telemarketers,Sales and Related Occupations
4950,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",Sales and Related Occupations
4965,"Sales and Related Workers, All Other",Sales and Related Occupations
5000,First-Line Supervisors of Office and Administrative Support Workers,Office and Administrative Support Occupations
5010,"Switchboard Operators, Including Answering Service",Office and Administrative Support Occupations
5020,Telephone Operators,Office and Administrative Support Occupations
5030,"Communications Equipment Operators, All Other",Office and Administrative Support Occupations
5100,Bill and Account Collectors,Office and Administrative Support Occupations
5110,Billing and Posting Clerks,Office and Administrative Support Occupations
5120,"Bookkeeping, Accounting, and Auditing Clerks",Office and Administrative Support Occupations
5130,Gaming Cage Workers,Office and Administrative Support Occupations
5140,Payroll and Timekeeping Clerks,Office and Administrative Support Occupations
5150,Procurement Clerks,Office and Administrative Support Occupations
5160,Bank Tellers,Office and Administrative Support Occupations
5165,"Financial Clerks, nec",Office and Administrative Support Occupations
5200,Brokerage Clerks,Office and Administrative Support Occupations
5220,"Court, Municipal, and License Clerks",Office and Administrative Support Occupations
5230,"Credit Authorizers, Checkers, and Clerks",Office and Administrative Support Occupations
5240,Customer Service Representatives,Office and Administrative Support Occupations
5250,"Eligibility Interviewers, Government Programs",Office and Administrative Support Occupations
5260,File Clerks,Office and Administrative Support Occupations
5300,"Hotel, Motel, and Resort Desk Clerks",Office and Administrative Support Occupations
5310,"Interviewers, Except Eligibility and Loan",Office and Administrative Support Occupations
5320,"Library Assistants, Clerical",Office and Administrative Support Occupations
5330,Loan Interviewers and Clerks,Office and Administrative Support Occupations
5340,New Account Clerks,Office and Administrative Support Occupations
5350,Correspondent clerks and order clerks,Office and Administrative Support Occupations
5360,"Human Resources Assistants, Except Payroll and Timekeeping",Office and Administrative Support Occupations
5400,Receptionists and Information Clerks,Office and Administrative Support Occupations
5410,Reservation and Transportation Ticket Agents and Travel Clerks,Office and Administrative Support Occupations
5420,"Information and Record Clerks, All Other",Office and Administrative Support Occupations
5500,Cargo and Freight Agents,Office and Administrative Support Occupations
5510,Couriers and Messengers,Office and Administrative Support Occupations
5520,Dispatchers,Office and Administrative Support Occupations
5530,"Meter Readers, Utilities",Office and Administrative Support Occupations
5540,Postal Service Clerks,Office and Administrative Support Occupations
5550,Postal Service Mail Carriers,Office and Administrative Support Occupations
5560,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",Office and Administrative Support Occupations
5600,"Production, Planning, and Expediting Clerks",Office and Administrative Support Occupations
5610,"Shipping, Receiving, and Traffic Clerks",Office and Administrative Support Occupations
5620,Stock Clerks and Order Fillers,Office and Administrative Support Occupations
5630,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",Office and Administrative Support Occupations
5700,Secretaries and Administrative Assistants,Office and Administrative Support Occupations
5800,Computer Operators,Office and Administrative Support Occupations
5810,Data Entry Keyers,Office and Administrative Support Occupations
5820,Word Processors and Typists,Office and Administrative Support Occupations
5840,Insurance Claims and Policy Processing Clerks,Office and Administrative Support Occupations
5850,"Mail Clerks and Mail Machine Operators, Except Postal Service",Office and Administrative Support Occupations
5860,"Office Clerks, General",Office and Administrative Support Occupations
5900,"Office Machine Operators, Except Computer",Office and Administrative Support Occupations
5910,Proofreaders and Copy Markers,Office and Administrative Support Occupations
5920,Statistical Assistants,Office and Administrative Support Occupations
5940,"Office and administrative support workers, nec",Office and Administrative Support Occupations
6005,"First-Line Supervisors of Farming, Fishing, and Forestry Workers","Farming, Fishing, and Forestry Occupations"
6010,Agricultural Inspectors,"Farming, Fishing, and Forestry Occupations"
6040,"Graders and Sorters, Agricultural Products","Farming, Fishing, and Forestry Occupations"
6050,"Agricultural workers, nec","Farming, Fishing, and Forestry Occupations"
6100,Fishing and hunting workers,"Farming, Fishing, and Forestry Occupations"
6120,Forest and Conservation Workers,"Farming, Fishing, and Forestry Occupations"
6130,Logging Workers,"Farming, Fishing, and Forestry Occupations"
6200,First-Line Supervisors of Construction Trades and Extraction Workers,Construction and Extraction Occupations
6210,Boilermakers,Construction and Extraction Occupations
6220,"Brickmasons, Blockmasons, and Stonemasons",Construction and Extraction Occupations
6230,Carpenters,Construction and Extraction Occupations
6240,"Carpet, Floor, and Tile Installers and Finishers",Construction and Extraction Occupations
6250,"Cement Masons, Concrete Finishers, and Terrazzo Workers",Construction and Extraction Occupations
6260,Construction Laborers,Construction and Extraction Occupations
6300,"Paving, Surfacing, and Tamping Equipment Operators",Construction and Extraction Occupations
6320,"Construction equipment operators except paving, surfacing, and tamping equipment operators",Construction and Extraction Occupations
6330,"Drywall Installers, Ceiling Tile Installers, and Tapers",Construction and Extraction Occupations
6355,Electricians,Construction and Extraction Occupations
6360,Glaziers,Construction and Extraction Occupations
6400,Insulation Workers,Construction and Extraction Occupations
6420,"Painters, Construction and Maintenance",Construction and Extraction Occupations
6430,Paperhangers,Construction and Extraction Occupations
6440,"Pipelayers, Plumbers, Pipefitters, and Steamfitters",Construction and Extraction Occupations
6460,Plasterers and Stucco Masons,Construction and Extraction Occupations
6500,Reinforcing Iron and Rebar Workers,Construction and Extraction Occupations
6515,Roofers,Construction and Extraction Occupations
6520,"Sheet Metal Workers, metal-working",Construction and Extraction Occupations
6530,Structural Iron and Steel Workers,Construction and Extraction Occupations
6600,"Helpers, Construction Trades",Construction and Extraction Occupations
6660,Construction and Building Inspectors,Construction and Extraction Occupations
6700,Elevator Installers and Repairers,Construction and Extraction Occupations
6710,Fence Erectors,Construction and Extraction Occupations
6720,Hazardous Materials Removal Workers,Construction and Extraction Occupations
6730,Highway Maintenance Workers,Construction and Extraction Occupations
6740,Rail-Track Laying and Maintenance Equipment Operators,Construction and Extraction Occupations
6765,"Construction workers, nec",Construction and Extraction Occupations
6800,"Derrick, rotary drill, and service unit operators, and roustabouts, oil, gas, and mining",Construction and Extraction Occupations
6820,"Earth Drillers, Except Oil and Gas",Construction and Extraction Occupations
6830,"Explosives Workers, Ordnance Handling Experts, and Blasters",Construction and Extraction Occupations
6840,Mining Machine Operators,Construction and Extraction Occupations
6940,"Extraction workers, nec",Construction and Extraction Occupations
7000,"First-Line Supervisors of Mechanics, Installers, and Repairers","Installation, Maintenance, and Repair Occupations"
7010,"Computer, Automated Teller, and Office Machine Repairers","Installation, Maintenance, and Repair Occupations"
7020,Radio and Telecommunications Equipment Installers and Repairers,"Installation, Maintenance, and Repair Occupations"
7030,Avionics Technicians,"Installation, Maintenance, and Repair Occupations"
7040,"Electric Motor, Power Tool, and Related Repairers","Installation, Maintenance, and Repair Occupations"
7100,"Electrical and electronics repairers, transportation equipment, and industrial and utility","Installation, Maintenance, and Repair Occupations"
7110,"Electronic Equipment Installers and Repairers, Motor Vehicles","Installation, Maintenance, and Repair Occupations"
7120,Electronic Home Entertainment Equipment Installers and Repairers,"Installation, Maintenance, and Repair Occupations"
7125,"Electronic Repairs, nec","Installation, Maintenance, and Repair Occupations"
7130,Security and Fire Alarm Systems Installers,"Installation, Maintenance, and Repair Occupations"
7140,Aircraft Mechanics and Service Technicians,"Installation, Maintenance, and Repair Occupations"
7150,Automotive Body and Related Repairers,"Installation, Maintenance, and Repair Occupations"
7160,Automotive Glass Installers and Repairers,"Installation, Maintenance, and Repair Occupations"
7200,Automotive Service Technicians and Mechanics,"Installation, Maintenance, and Repair Occupations"
